Player,Team,IP,K,ERA,WHIP
Justin Verlander,HOU,223,300,2.58,0.8
Shane Bieber,CLE,214.1,259,3.28,1.05
Gerrit Cole,HOU,212.1,326,2.5,0.89
Stephen Strasburg,WAS,209,251,3.32,1.04
Mike Minor,TEX,208.1,200,3.59,1.24
Lance Lynn,TEX,208.1,246,3.67,1.22
Madison Bumgarner,SF,207.2,203,3.9,1.13
Jacob deGrom,NYM,204,255,2.43,0.97
Eduardo Rodriguez,BOS,203.1,213,3.81,1.33
Marco Gonzales,SEA,203,147,3.99,1.31
Aaron Nola,PHI,202.1,229,3.87,1.27
Patrick Corbin,WAS,202,238,3.25,1.18
Jose Berrios,MIN,200.1,195,3.68,1.22
Noah Syndergaard,NYM,197.2,202,4.28,1.23
Sandy Alcantara,MIA,197.1,151,3.88,1.32
Jack Flaherty,STL,196.1,231,2.75,0.97
Zack Wheeler,NYM,195.1,195,3.96,1.26
Charlie Morton,TB,194.2,240,3.05,1.08
Luis Castillo,CIN,190.2,226,3.4,1.14
Ivan Nova,CWS,187,114,4.72,1.45
Matthew Boyd,DET,185.1,238,4.56,1.23
Mike Fiers,OAK,184.2,126,3.9,1.19
Miles Mikolas,STL,184,144,4.16,1.22
Reynaldo Lopez,CWS,184,169,5.38,1.46
Merrill Kelly,ARI,183.1,158,4.42,1.31
Hyun-Jin Ryu,LAD,182.2,163,2.32,1.01
Walker Buehler,LAD,182.1,215,3.26,1.04
Masahiro Tanaka,NYY,182,149,4.45,1.24
Jeff Samardzija,SF,181.1,140,3.52,1.11
Yu Darvish,CHC,178.2,229,3.98,1.1
Clayton Kershaw,LAD,178.1,189,3.03,1.04
Kyle Hendricks,CHC,177,150,3.46,1.13
Lucas Giolito,CWS,176.2,228,3.41,1.06
Brett Anderson,OAK,176,90,3.89,1.31
Sonny Gray,CIN,175.1,205,2.87,1.08
Jakob Junis,KC,175.1,164,5.24,1.43
Dakota Hudson,STL,174.2,136,3.35,1.41
Julio Teheran,ATL,174.2,162,3.81,1.32
Mike Soroka,ATL,174.2,142,2.68,1.11
Rick Porcello,BOS,174.1,143,5.52,1.39
Robbie Ray,ARI,174.1,235,4.34,1.34
German Marquez,COL,174,175,4.76,1.2
Max Scherzer,WAS,172.1,243,2.92,1.03
Adam Wainwright,STL,171.2,153,4.19,1.43
Jon Lester,CHC,171.2,165,4.46,1.5
Jose Quintana,CHC,171,152,4.68,1.39
Joe Musgrove,PIT,170.1,157,4.44,1.22
Wade Miley,HOU,167.1,140,3.98,1.34
Anthony DeSclafani,CIN,166.2,167,3.89,1.2
